Snapshot,Snapshot UTC,GW,GW finished,ID,Player,Team,Pos,Price,Owned %,Form,Total pts,GW pts,PPG,Minutes,Starts,Goals,Assists,xG,xA,xGI,DEFCON,DEFCON per 90,Bonus,Exp pts next,Status,Chance next GW,Transfers in (GW),Transfers out (GW),Price change (GW),Pens order,Corners/IFK order,Direct FK order,Rise/fall %,Change likelihood
2026-08-28,2026-08-28 15:24,1,True,1,Raya,ARS,GKP,6.0,38.3,6.0,6,6,6.0,90,1,0,0,0.0,0.0,0.0,0,0.0,0,4.0,Available,,101563,77519,0.0,,,,9.4,1
2026-08-28,2026-08-28 15:24,1,True,2,Arrizabalaga,ARS,GKP,5.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.6,Available,,312,1318,0.0,,,,-65.6,-3
2026-08-28,2026-08-28 15:24,1,True,3,Meslier,ARS,GKP,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.6,Available,,98,472,0.0,,,,-60.2,-3
2026-08-28,2026-08-28 15:24,1,True,4,Gabriel,ARS,DEF,8.0,29.1,5.0,5,5,5.0,90,1,0,0,0.05,0.01,0.06,4,4.0,0,4.0,Available,,56582,117083,0.0,,,,-7.4,-1
2026-08-28,2026-08-28 15:24,1,True,5,J.Timber,ARS,DEF,6.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,391,2989,0.0,,,,-50.5,-3
2026-08-28,2026-08-28 15:24,1,True,6,Saliba,ARS,DEF,6.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,827,6621,0.0,,,,-44.6,-3
2026-08-28,2026-08-28 15:24,1,True,7,Lewis-Skelly,ARS,MID,5.5,0.7,3.0,3,3,3.0,90,1,0,0,0.06,0.11,0.17,7,7.0,0,2.0,Available,,9240,8585,0.0,,,,1.0,1
2026-08-28,2026-08-28 15:24,1,True,8,Calafiori,ARS,DEF,5.6,41.7,9.0,9,9,9.0,80,1,0,1,0.04,0.09,0.13,5,5.62,0,2.6,Available,,299116,39145,0.1,,,,4.9,1
2026-08-28,2026-08-28 15:24,1,True,9,Hincapie,ARS,DEF,5.4,1.5,1.0,1,1,1.0,9,0,0,0,0.0,0.0,0.0,0,0.0,0,2.4,Available,,3772,39348,-0.1,,,,-7.5,-1
2026-08-28,2026-08-28 15:24,1,True,10,White,ARS,DEF,5.5,6.8,11.0,11,11,11.0,90,1,0,1,0.18,0.21,0.39,5,5.0,2,2.5,Available,100.0,136650,23285,0.0,,,,47.8,3
2026-08-28,2026-08-28 15:24,1,True,11,Mosquera,ARS,DEF,5.5,5.8,6.0,6,6,6.0,90,1,0,0,0.0,0.0,0.0,6,6.0,0,2.5,Available,,14782,41664,0.0,,,,-19.5,-1
2026-08-28,2026-08-28 15:24,1,True,12,Saka,ARS,MID,9.5,10.4,9.0,9,9,9.0,67,1,1,0,0.64,0.08,0.72,7,9.4,1,3.2,Available,,84866,32753,0.0,1.0,2.0,2.0,18.8,1
2026-08-28,2026-08-28 15:24,1,True,13,Rice,ARS,MID,7.5,16.9,3.0,3,3,3.0,67,1,0,0,0.07,0.08,0.15,6,8.06,0,2.6,Available,,34401,148608,0.0,,1.0,1.0,-30.5,-2
2026-08-28,2026-08-28 15:24,1,True,14,Eze,ARS,MID,6.5,1.7,1.0,1,1,1.0,14,0,0,0,0.04,0.0,0.04,2,12.86,0,2.3,Available,,5512,42362,0.0,,,3.0,-112.1,-5
2026-08-28,2026-08-28 15:24,1,True,15,Ødegaard,ARS,MID,6.6,11.7,11.0,11,11,11.0,75,1,1,0,0.21,0.1,0.31,8,9.6,3,2.3,Available,,278296,34536,0.1,3.0,4.0,,4.1,1
2026-08-28,2026-08-28 15:24,1,True,16,Madueke,ARS,MID,6.4,0.3,1.0,1,1,1.0,22,0,0,0,0.0,0.04,0.04,2,8.18,0,2.3,Available,,1318,7832,-0.1,,6.0,,-8.0,-1
2026-08-28,2026-08-28 15:24,1,True,17,Merino,ARS,MID,6.0,0.6,1.0,1,1,1.0,14,0,0,0,0.14,0.02,0.16,2,12.86,0,2.2,Available,,2324,14743,0.0,,,,-109.2,-5
2026-08-28,2026-08-28 15:24,1,True,18,Martinelli,ARS,MID,6.4,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.3,Available,,1259,6767,-0.1,,,,-24.2,-2
2026-08-28,2026-08-28 15:24,1,True,19,Zubimendi,ARS,MID,5.5,1.0,1.0,1,1,1.0,22,0,0,0,0.0,0.02,0.02,3,12.27,0,2.0,Available,,1521,19578,0.0,,,,-95.2,-4
2026-08-28,2026-08-28 15:24,1,True,20,Dowman,ARS,MID,5.4,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.9,Available,,449,2259,-0.1,,,,-7.2,-1
2026-08-28,2026-08-28 15:24,1,True,21,Nørgaard,EVE,MID,5.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,101,2764,0.0,,,,-61.4,-3
2026-08-28,2026-08-28 15:24,1,True,22,Nwaneri,ARS,MID,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,Available,,73,311,0.0,,,,-91.7,-3
2026-08-28,2026-08-28 15:24,1,True,23,Fábio Vieira,ARS,MID,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,Available,,75,207,0.0,,,,-65.5,-3
2026-08-28,2026-08-28 15:24,1,True,24,Nelson,ARS,MID,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,Available,,62,162,0.0,,,,-51.4,-3
