canonical_id,display_name,fpl_id,understat_id,statsbomb_id,birth_date,confidence,method,verified_at
fpl-player-1,David Raya Martín,1,,,,1.0,exact,
fpl-player-2,Kepa Arrizabalaga Revuelta,2,,,,1.0,exact,
fpl-player-3,Illan Meslier,3,,,,1.0,exact,
fpl-player-4,Gabriel dos Santos Magalhães,4,,,,1.0,exact,
fpl-player-5,Jurriën Timber,5,,,,1.0,exact,
fpl-player-6,William Saliba,6,,,,1.0,exact,
fpl-player-7,Myles Lewis-Skelly,7,,,,1.0,exact,
fpl-player-8,Riccardo Calafiori,8,,,,1.0,exact,
fpl-player-9,Piero Hincapié,9,,,,1.0,exact,
fpl-player-10,Benjamin White,10,,,,1.0,exact,
fpl-player-11,Cristhian Mosquera,11,,,,1.0,exact,
fpl-player-12,Bukayo Saka,12,,,,1.0,exact,
fpl-player-13,Declan Rice,13,,,,1.0,exact,
fpl-player-14,Eberechi Eze,14,,,,1.0,exact,
fpl-player-15,Martin Ødegaard,15,,,,1.0,exact,
fpl-player-16,Noni Madueke,16,,,,1.0,exact,
fpl-player-17,Mikel Merino Zazón,17,,,,1.0,exact,
fpl-player-18,Gabriel Martinelli Silva,18,,,,1.0,exact,
fpl-player-19,Martín Zubimendi Ibáñez,19,,,,1.0,exact,
fpl-player-20,Max Dowman,20,,,,1.0,exact,
fpl-player-22,Ethan Nwaneri,22,,,,1.0,exact,
fpl-player-23,Fábio Ferreira Vieira,23,,,,1.0,exact,
fpl-player-24,Reiss Nelson,24,,,,1.0,exact,
fpl-player-25,Viktor Gyökeres,25,,,,1.0,exact,
fpl-player-26,Kai Havertz,26,,,,1.0,exact,
fpl-player-27,Gabriel Fernando de Jesus,27,,,,1.0,exact,
fpl-player-31,Ezri Konsa Ngoyo,31,,,,1.0,exact,
fpl-player-452,Bruno Guimarães Rodriguez Moura,452,,,,1.0,exact,
fpl-player-557,Christos Tzolis,557,,,,1.0,exact,
fpl-player-28,Emiliano Martínez Romero,28,,,,1.0,exact,
fpl-player-29,Marco Bizot,29,,,,1.0,exact,
fpl-player-30,Lucas Digne,30,,,,1.0,exact,
fpl-player-32,Matty Cash,32,,,,1.0,exact,
fpl-player-33,Tyrone Mings,33,,,,1.0,exact,
fpl-player-34,Pau Torres,34,,,,1.0,exact,
fpl-player-35,Lamare Bogarde,35,,,,1.0,exact,
fpl-player-36,Ian Maatsen,36,,,,1.0,exact,
fpl-player-37,Victor Lindelöf,37,,,,1.0,exact,
fpl-player-38,Andrés García,38,,,,1.0,exact,
fpl-player-39,Kosta Nedeljkovic,39,,,,1.0,exact,
fpl-player-41,Emiliano Buendía Stati,41,,,,1.0,exact,
fpl-player-44,Leon Bailey,44,,,,1.0,exact,
fpl-player-45,John McGinn,45,,,,1.0,exact,
fpl-player-46,Ross Barkley,46,,,,1.0,exact,
fpl-player-47,Boubacar Kamara,47,,,,1.0,exact,
fpl-player-48,Amadou Onana,48,,,,1.0,exact,
fpl-player-49,Samuel Iling-Junior,49,,,,1.0,exact,
fpl-player-50,Bradley Burrowes,50,,,,1.0,exact,
fpl-player-51,George Hemmings,51,,,,1.0,exact,
fpl-player-52,Alysson Edward Franco da Rocha dos Santos,52,,,,1.0,exact,
fpl-player-53,Johan Manzambi,53,,,,1.0,exact,
fpl-player-54,Joao Gomes,54,,,,1.0,exact,
fpl-player-55,Ollie Watkins,55,,,,1.0,exact,
fpl-player-56,Tammy Abraham,56,,,,1.0,exact,
fpl-player-160,Alejandro Garnacho Ferreyra,160,,,,1.0,exact,
fpl-player-582,Brian Madjo,582,,,,1.0,exact,
fpl-player-596,Matteo Ruggeri,596,,,,1.0,exact,
fpl-player-597,Zion Suzuki,597,,,,1.0,exact,
fpl-player-606,Triston Rowe,606,,,,1.0,exact,
fpl-player-607,Luka Lynch,607,,,,1.0,exact,
fpl-player-57,Đorđe Petrović,57,,,,1.0,exact,
fpl-player-58,Fraser Forster,58,,,,1.0,exact,
fpl-player-59,Will Dennis,59,,,,1.0,exact,
fpl-player-60,James Hill,60,,,,1.0,exact,
fpl-player-61,Adrien Truffert,61,,,,1.0,exact,
fpl-player-62,Bafodé Diakité,62,,,,1.0,exact,
fpl-player-63,Veljko Milosavljevic,63,,,,1.0,exact,
fpl-player-64,Adam Smith,64,,,,1.0,exact,
fpl-player-65,Julián Araujo Zúñiga,65,,,,1.0,exact,
fpl-player-66,Julio Soler Barreto,66,,,,1.0,exact,
fpl-player-67,Rayan Vitor Simplício Rocha,67,,,,1.0,exact,
fpl-player-68,Marcus Tavernier,68,,,,1.0,exact,
fpl-player-69,Alex Scott,69,,,,1.0,exact,
fpl-player-70,Justin Kluivert,70,,,,1.0,exact,
fpl-player-71,Lewis Cook,71,,,,1.0,exact,
fpl-player-72,Ben Gannon-Doak,72,,,,1.0,exact,
fpl-player-73,Tyler Adams,73,,,,1.0,exact,
fpl-player-74,David Brooks,74,,,,1.0,exact,
fpl-player-75,Ryan Christie,75,,,,1.0,exact,
fpl-player-76,Alex Tóth,76,,,,1.0,exact,
fpl-player-77,Amine Adli,77,,,,1.0,exact,
fpl-player-78,Junior Kroupi,78,,,,1.0,exact,
fpl-player-79,Francisco Evanilson de Lima Barbosa,79,,,,1.0,exact,
fpl-player-80,Enes Ünal,80,,,,1.0,exact,
fpl-player-81,Álvaro Rodríguez,81,,,,1.0,exact,
fpl-player-566,António João Pereira de Albuquerque Tavares da Silva,566,,,,1.0,exact,
fpl-player-573,Juanlu Sánchez,573,,,,1.0,exact,
fpl-player-608,Daniel Jebbison,608,,,,1.0,exact,
fpl-player-82,Caoimhín Kelleher,82,,,,1.0,exact,
fpl-player-83,Hákon Rafn Valdimarsson,83,,,,1.0,exact,
fpl-player-84,Nathan Collins,84,,,,1.0,exact,
fpl-player-85,Sepp van den Berg,85,,,,1.0,exact,
fpl-player-86,Keane Lewis-Potter,86,,,,1.0,exact,
fpl-player-87,Kristoffer Ajer,87,,,,1.0,exact,
fpl-player-88,Michael Kayode,88,,,,1.0,exact,
fpl-player-89,Rico Henry,89,,,,1.0,exact,
fpl-player-90,Aaron Hickey,90,,,,1.0,exact,
fpl-player-91,Ethan Pinnock,91,,,,1.0,exact,
fpl-player-92,Kim Ji-soo,92,,,,1.0,exact,
fpl-player-93,Jannik Schuster,93,,,,1.0,exact,
fpl-player-94,Kevin Schade,94,,,,1.0,exact,
fpl-player-95,Dango Ouattara,95,,,,1.0,exact,
fpl-player-96,Mikkel Damsgaard,96,,,,1.0,exact,
fpl-player-97,Mathias Jensen,97,,,,1.0,exact,
fpl-player-98,Vitaly Janelt,98,,,,1.0,exact,
fpl-player-99,Antoni Milambo,99,,,,1.0,exact,
fpl-player-100,Fábio Freitas Gouveia Carvalho,100,,,,1.0,exact,
fpl-player-102,Yehor Yarmoliuk,102,,,,1.0,exact,
fpl-player-103,Josh Dasilva,103,,,,1.0,exact,
fpl-player-105,Jaidon Anthony,105,,,,1.0,exact,
fpl-player-106,Igor Thiago Nascimento Rodrigues,106,,,,1.0,exact,
fpl-player-107,Kaye Furo,107,,,,1.0,exact,
fpl-player-108,Callum Wilson,108,,,,1.0,exact,
fpl-player-565,Mamadou Sangaré,565,,,,1.0,exact,
fpl-player-109,Bart Verbruggen,109,,,,1.0,exact,
fpl-player-111,Jason Steele,111,,,,1.0,exact,
fpl-player-113,Ferdi Kadıoğlu,113,,,,1.0,exact,
fpl-player-114,Olivier Boscagli,114,,,,1.0,exact,
fpl-player-115,Maxim De Cuyper,115,,,,1.0,exact,
fpl-player-116,Lewis Dunk,116,,,,1.0,exact,
fpl-player-117,Diego Coppola,117,,,,1.0,exact,
fpl-player-118,Igor Julio dos Santos de Paulo,118,,,,1.0,exact,
fpl-player-119,João Pedro Loureiro da Costa,119,,,,1.0,exact,
fpl-player-120,Michael Svoboda,120,,,,1.0,exact,
fpl-player-121,Mitoma Kaoru,121,,,,1.0,exact,
fpl-player-122,Yankuba Minteh,122,,,,1.0,exact,
fpl-player-123,Jack Hinshelwood,123,,,,1.0,exact,
fpl-player-124,Pascal Groß,124,,,,1.0,exact,
fpl-player-125,Georginio Rutter,125,,,,1.0,exact,
fpl-player-126,Matt O'Riley,126,,,,1.0,exact,
fpl-player-127,Diego Gómez Amarilla,127,,,,1.0,exact,
fpl-player-128,Facundo Buonanotte,128,,,,1.0,exact,
fpl-player-129,Yasin Ayari,129,,,,1.0,exact,
fpl-player-130,Mats Wieffer,130,,,,1.0,exact,
fpl-player-131,Carlos Baleba,131,,,,1.0,exact,
fpl-player-132,Harry Howell,132,,,,1.0,exact,
fpl-player-133,Tom Watson,133,,,,1.0,exact,
fpl-player-134,Nehemiah Oriola,134,,,,1.0,exact,
fpl-player-135,Zadok Yohanna,135,,,,1.0,exact,
fpl-player-137,Stefanos Tzimas,137,,,,1.0,exact,
fpl-player-138,Charalampos Kostoulas,138,,,,1.0,exact,
fpl-player-139,Evan Ferguson,139,,,,1.0,exact,
fpl-player-328,Pascal Struijk,328,,,,1.0,exact,
fpl-player-504,Luka Vušković,504,,,,1.0,exact,
fpl-player-594,Promise David,594,,,,1.0,exact,
fpl-player-600,Ibrahim Osman,600,,,,1.0,exact,
fpl-player-605,Malick Yalcouyé,605,,,,1.0,exact,
fpl-player-40,Morgan Rogers,40,,,,1.0,exact,
fpl-player-101,Jordan Henderson,101,,,,1.0,exact,
fpl-player-136,Danny Welbeck,136,,,,1.0,exact,
fpl-player-140,Robert Lynch Sánchez,140,,,,1.0,exact,
fpl-player-141,Filip Jörgensen,141,,,,1.0,exact,
fpl-player-142,Reece James,142,,,,1.0,exact,
fpl-player-143,Trevoh Chalobah,143,,,,1.0,exact,
fpl-player-144,Malo Gusto,144,,,,1.0,exact,
fpl-player-145,Wesley Fofana,145,,,,1.0,exact,
fpl-player-146,Benoît Badiashile Mukinayi,146,,,,1.0,exact,
fpl-player-147,Tosin Adarabioyo,147,,,,1.0,exact,
fpl-player-148,Jorrel Hato,148,,,,1.0,exact,
fpl-player-149,Levi Samuels Colwill,149,,,,1.0,exact,
fpl-player-150,Mamadou Sarr,150,,,,1.0,exact,
fpl-player-151,Josh Acheampong,151,,,,1.0,exact,
fpl-player-152,Marco Palestra,152,,,,1.0,exact,
fpl-player-153,Axel Disasi,153,,,,1.0,exact,
fpl-player-154,Cole Palmer,154,,,,1.0,exact,
fpl-player-155,Enzo Fernández,155,,,,1.0,exact,
fpl-player-156,Pedro Lomba Neto,156,,,,1.0,exact,
fpl-player-157,Estêvão Almeida de Oliveira Gonçalves,157,,,,1.0,exact,
fpl-player-158,Jamie Bynoe-Gittens,158,,,,1.0,exact,
fpl-player-159,Moisés Caicedo Corozo,159,,,,1.0,exact,
fpl-player-161,Roméo Lavia,161,,,,1.0,exact,
fpl-player-163,Dário Luís Essugo,163,,,,1.0,exact,
fpl-player-164,Geovany Quenda,164,,,,1.0,exact,
fpl-player-165,João Pedro Junqueira de Jesus,165,,,,1.0,exact,
fpl-player-166,Nicolas Jackson,166,,,,1.0,exact,
fpl-player-167,Liam Delap,167,,,,1.0,exact,
fpl-player-168,Marc Guiu Paz,168,,,,1.0,exact,
fpl-player-169,Shumaira Mheuka,169,,,,1.0,exact,
fpl-player-170,Emmanuel Emegha,170,,,,1.0,exact,
fpl-player-200,Maxence Lacroix,200,,,,1.0,exact,
fpl-player-560,Mike Penders,560,,,,1.0,exact,
fpl-player-561,Aaron Anselmino,561,,,,1.0,exact,
fpl-player-568,Valentín Barco,568,,,,1.0,exact,
fpl-player-578,Mykhailo Mudryk,578,,,,1.0,exact,
fpl-player-583,Pep Chavarría,583,,,,1.0,exact,
fpl-player-104,Frank Onyeka,104,,,,1.0,exact,
fpl-player-110,Carl Rushworth,110,,,,1.0,exact,
fpl-player-171,Oliver Dovin,171,,,,1.0,exact,
fpl-player-172,Ben Wilson,172,,,,1.0,exact,
fpl-player-173,Bobby Thomas,173,,,,1.0,exact,
fpl-player-174,Liam Kitching,174,,,,1.0,exact,
fpl-player-175,Milan van Ewijk,175,,,,1.0,exact,
fpl-player-176,Jay Dasilva,176,,,,1.0,exact,
fpl-player-177,Kaine Kesler-Hayden,177,,,,1.0,exact,
fpl-player-178,Jake Bidwell,178,,,,1.0,exact,
