canonical_id,display_name,fpl_id,understat_id,statsbomb_id,football_data_name,understat_name,country,tier,confidence,method,verified_at
fpl-team-1,Arsenal,1,,,Arsenal,,England,1,1.0,exact,
fpl-team-2,Aston Villa,2,,,Aston Villa,,England,1,1.0,exact,
fpl-team-3,Bournemouth,3,,,Bournemouth,,England,1,1.0,exact,
fpl-team-4,Brentford,4,,,Brentford,,England,1,1.0,exact,
fpl-team-5,Brighton,5,,,Brighton,,England,1,1.0,exact,
fpl-team-6,Chelsea,6,,,Chelsea,,England,1,1.0,exact,
fpl-team-7,Coventry City,7,,,,,England,1,1.0,exact,
fpl-team-8,Crystal Palace,8,,,Crystal Palace,,England,1,1.0,exact,
fpl-team-9,Everton,9,,,Everton,,England,1,1.0,exact,
fpl-team-10,Fulham,10,,,Fulham,,England,1,1.0,exact,
fpl-team-11,Hull City,11,,,,,England,1,1.0,exact,
fpl-team-12,Ipswich Town,12,,,,,England,1,1.0,exact,
fpl-team-13,Leeds,13,,,Leeds,,England,1,1.0,exact,
fpl-team-14,Liverpool,14,,,Liverpool,,England,1,1.0,exact,
fpl-team-15,Man City,15,,,Man City,,England,1,1.0,exact,
fpl-team-16,Man Utd,16,,,,,England,1,1.0,exact,
fpl-team-17,Newcastle,17,,,Newcastle,,England,1,1.0,exact,
fpl-team-18,Nott'm Forest,18,,,Nott'm Forest,,England,1,1.0,exact,
fpl-team-19,Spurs,19,,,,,England,1,1.0,exact,
fpl-team-20,Sunderland,20,,,Sunderland,,England,1,1.0,exact,
