league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
D1,1819,2018-08-24,Bayern Munich,Hoffenheim,,,True,3,1,3.08883,0.697274,2.33114,0.697274,0.697274,2.33114,9.411764705882353,13.333333333333334,11,3,2.7901000000000002,0.1354,0.9052,0.0745,0.0203
D1,1819,2018-08-25,Wolfsburg,Schalke 04,,,True,2,1,1.31029,1.86154,1.31029,1.10376,1.10376,1.31029,5.75,9.961538461538462,6,3,0.881,1.8368,0.1996,0.2822,0.5182
D1,1819,2018-08-25,Fortuna Duesseldorf,Augsburg,,,True,1,2,1.32783,0.755029,1.32783,0.755029,0.755029,1.32783,9.444444444444445,11.04,5,4,1.8745,0.8386,0.5292,0.2869,0.1839
D1,1819,2018-08-25,Hertha Berlin,Nuernberg,,,True,1,0,1.03309,1.34412,1.03309,0.586343,0.586343,1.03309,11.916666666666666,14.4,4,3,1.0198,1.6267,0.2221,0.3535,0.4244
D1,1819,2018-08-25,Werder Bremen,Hannover 96,,,True,1,1,1.91197,0.840127,1.91197,0.840127,0.840127,1.91197,11.28,11.96,7,4,2.2013,0.5885,0.6637,0.2102,0.1261
D1,1819,2018-08-25,Freiburg,Eintracht Frankfurt,,,True,0,2,1.46674,0.81415,1.46674,0.81415,0.81415,1.46674,9.421052631578947,15.866666666666667,13,2,1.8793,0.8449,0.5345,0.2758,0.1897
D1,1819,2018-08-25,Borussia M.Gladbach,Bayer Leverkusen,,,True,2,0,3.34179,1.05775,1.82624,1.05775,1.05775,1.82624,13.166666666666666,17.625,10,6,2.7036,0.2097,0.8723,0.0867,0.041
D1,1819,2018-08-26,Mainz 05,VfB Stuttgart,,,True,1,0,1.28621,1.07847,1.28621,1.07847,1.07847,1.28621,8.178571428571429,14.352941176470589,4,4,1.5356999999999998,1.1571,0.4095,0.3072,0.2833
D1,1819,2018-08-26,Borussia Dortmund,RasenBallsport Leipzig,,,True,4,1,1.96153,1.46268,1.96153,1.46268,1.46268,1.96153,10.95,7.6,4,4,1.7433,0.9972000000000001,0.4946,0.2595,0.2459
D1,1819,2018-08-31,Hannover 96,Borussia Dortmund,,,True,0,0,0.462033,0.842511,0.462033,0.842511,0.842511,0.462033,9.25,16.318181818181817,5,2,0.9115000000000001,1.7044000000000001,0.1758,0.3841,0.4401
