league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
F1,2627,2026-08-21,Marseille,Strasbourg,,,True,4.0,0.0,2.35215,0.192997,1.59205,0.192997,0.192997,1.59205,9.291666666666666,22.894736842105264,6.0,2.0,2.8516999999999997,0.0863,0.9299,0.062,0.0081
F1,2627,2026-08-22,Lens,Auxerre,,,True,5.0,2.0,5.11771,1.70602,3.59752,0.945924,0.945924,3.59752,8.74074074074074,11.333333333333334,15.0,6.0,2.9152,0.0571,0.9625,0.0277,0.0098
F1,2627,2026-08-22,Toulouse,Lyon,,,True,0.0,2.0,2.15622,0.757819,2.15622,0.757819,0.757819,2.15622,12.16,9.88888888888889,9.0,8.0,2.3894,0.4376,0.7388,0.173,0.0882
F1,2627,2026-08-22,Troyes,Paris FC,,,True,0.0,0.0,0.339728,1.5465,0.339728,1.5465,1.5465,0.339728,20.333333333333332,8.137931034482758,6.0,4.0,0.3191,2.4955999999999996,0.0446,0.1853,0.7701
F1,2627,2026-08-22,Le Mans,Brest,,,True,2.0,2.0,0.768246,2.62744,0.768246,2.62744,2.62744,0.768246,8.185185185185185,7.636363636363637,3.0,9.0,0.223,2.6449,0.0303,0.1321,0.8376
F1,2627,2026-08-22,Nice,Lorient,,,True,0.0,0.0,1.08878,1.98004,1.08878,1.98004,1.98004,1.08878,9.115384615384615,18.352941176470587,5.0,6.0,0.7033,2.0755,0.1607,0.2212,0.6181
F1,2627,2026-08-23,Angers,Lille,,,True,0.0,2.0,1.85763,1.21456,1.85763,1.21456,1.21456,1.85763,12.411764705882353,11.16,7.0,5.0,1.8272,0.9071,0.5205,0.2657,0.2138
F1,2627,2026-08-23,Le Havre,Monaco,,,True,0.0,1.0,0.662278,1.65557,0.662278,1.65557,1.65557,0.662278,9.521739130434783,6.78125,4.0,8.0,0.5814,2.1888,0.1172,0.2298,0.653
F1,2627,2026-08-23,Paris Saint Germain,Rennes,,,True,0.0,0.0,0.63016,0.910543,0.63016,0.910543,0.910543,0.63016,12.647058823529411,11.636363636363637,9.0,3.0,1.0485,1.5972000000000002,0.2314,0.3543,0.4143
F1,2627,2026-08-28,Lille,Paris Saint Germain,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-29,Strasbourg,Lens,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-29,Auxerre,Angers,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-29,Brest,Toulouse,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-29,Lorient,Troyes,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-29,Lyon,Le Havre,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-30,Paris FC,Nice,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-30,Rennes,Le Mans,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-08-30,Monaco,Marseille,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-03,Toulouse,Lille,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-04,Lyon,Auxerre,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-04,Paris Saint Germain,Monaco,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-05,Lens,Lorient,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-05,Nice,Le Mans,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-05,Le Havre,Brest,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-06,Troyes,Strasbourg,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-06,Angers,Rennes,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-06,Marseille,Paris FC,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-11,Rennes,Marseille,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-12,Strasbourg,Monaco,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-12,Paris FC,Lyon,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-12,Le Havre,Angers,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-12,Auxerre,Nice,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-12,Lorient,Toulouse,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-13,Lille,Troyes,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-13,Le Mans,Lens,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-13,Brest,Paris Saint Germain,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Monaco,Lens,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Nice,Lille,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Paris FC,Strasbourg,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Toulouse,Le Havre,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Angers,Troyes,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Auxerre,Brest,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Le Mans,Lorient,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-19,Lyon,Rennes,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-09-20,Marseille,Paris Saint Germain,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-10-10,Brest,Angers,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-10-10,Lens,Lyon,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-10-10,Lille,Le Havre,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-10-10,Lorient,Paris FC,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-10-10,Monaco,Toulouse,,,False,,,,,,,,,,,,,,,,,
F1,2627,2026-10-10,Nice,Strasbourg,,,False,,,,,,,,,,,,,,,,,
