league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
I1,2021,2020-09-19,Fiorentina,Torino,,,True,1,0,2.35462,0.617878,2.35462,0.617878,0.617878,2.35462,9.470588235294118,6.857142857142857,9,2,2.6197,0.24819999999999998,0.8292,0.1321,0.0387
I1,2021,2020-09-19,Verona,Roma,,,True,0,0,0.910773,1.77959,0.910773,1.77959,1.77959,0.910773,8.424242424242424,5.0625,3,9,0.7196,2.0326999999999997,0.1573,0.2477,0.595
I1,2021,2020-09-20,Parma Calcio 1913,Napoli,,,True,0,2,0.160985,1.54079,0.160985,1.54079,1.54079,0.160985,19.42105263157895,12.173913043478262,7,7,0.1611,2.7168,0.013,0.1221,0.8649
I1,2021,2020-09-20,Genoa,Crotone,,,True,4,1,2.23283,1.32278,2.23283,1.32278,1.32278,2.23283,8.9375,9.424242424242424,4,4,2.0368,0.7501,0.6079,0.2131,0.179
I1,2021,2020-09-20,Sassuolo,Cagliari,,,True,1,1,2.0285,0.95973,2.0285,0.95973,0.95973,2.0285,9.263157894736842,18.636363636363637,15,4,2.1256,0.6442,0.6318,0.2302,0.138
I1,2021,2020-09-20,Juventus,Sampdoria,,,True,3,0,2.14288,0.606523,2.14288,0.606523,0.606523,2.14288,6.793103448275862,21.65,10,1,2.5522,0.2977,0.8007,0.1501,0.0492
I1,2021,2020-09-21,AC Milan,Bologna,,,True,2,0,2.94224,0.825483,2.18107,0.825483,0.825483,2.18107,9.26086956521739,13.5,6,3,2.6748,0.22499999999999998,0.8582,0.1002,0.0416
I1,2021,2020-09-26,Torino,Atalanta,,,True,2,4,0.773914,2.47087,0.773914,2.47087,2.47087,0.773914,11.72,10.8,3,14,0.35419999999999996,2.4938000000000002,0.0674,0.152,0.7806
I1,2021,2020-09-26,Cagliari,Lazio,,,True,0,2,0.91566,1.99417,0.91566,1.99417,1.99417,0.91566,11.148148148148149,13.85,0,8,0.5314,2.2456,0.1028,0.223,0.6742
I1,2021,2020-09-26,Sampdoria,Benevento,,,True,2,3,1.36058,1.27481,1.36058,1.27481,1.27481,1.36058,14.428571428571429,8.3125,2,5,1.43,1.2491,0.3697,0.3209,0.3094
I1,2021,2020-09-26,Inter,Fiorentina,,,True,4,3,1.69563,2.25332,1.69563,2.25332,2.25332,1.69563,5.216216216216216,24.214285714285715,17,9,0.9906000000000001,1.7862000000000002,0.2558,0.2232,0.521
I1,2021,2020-09-27,Spezia,Sassuolo,,,True,1,4,1.29116,2.6497,1.29116,1.8884,1.8884,1.29116,27.9375,7.2592592592592595,6,16,0.5337,2.2827,0.1167,0.1836,0.6997
I1,2021,2020-09-27,Verona,Udinese,,,True,1,0,1.35384,2.14756,1.35384,2.14756,2.14756,1.35384,5.805555555555555,7.296296296296297,5,5,0.8192999999999999,1.9524,0.197,0.2283,0.5747
I1,2021,2020-09-27,Napoli,Genoa,,,True,6,0,2.34102,0.265594,2.34102,0.265594,0.265594,2.34102,12.84,37.916666666666664,6,2,2.7379000000000002,0.1591,0.8783,0.103,0.0187
I1,2021,2020-09-27,Crotone,AC Milan,,,True,0,2,0.107055,2.43073,0.107055,1.66943,1.66943,0.107055,9.379310344827585,9.73076923076923,5,6,0.048799999999999996,2.9108,0.0028,0.0404,0.9568
I1,2021,2020-09-27,Roma,Juventus,,,True,2,2,2.81817,1.90728,2.05687,1.14598,1.14598,2.05687,13.379310344827585,9.24,6,3,2.0465,0.7331,0.6087,0.2204,0.1709
I1,2021,2020-09-28,Bologna,Parma Calcio 1913,,,True,4,1,2.04715,1.2448,2.04715,1.2448,1.2448,2.04715,7.357142857142857,10.571428571428571,7,3,1.9584,0.8106,0.5758,0.231,0.1932
I1,2021,2020-09-30,Benevento,Inter,,,True,2,5,1.2507,4.53244,1.2507,4.53244,4.53244,1.2507,21.35,7.32,2,12,0.0633,2.9019,0.0095,0.0348,0.9557
I1,2021,2020-09-30,Udinese,Spezia,,,True,0,2,1.86648,0.812849,1.86648,0.812849,0.812849,1.86648,14.130434782608695,12.944444444444445,11,0,2.2124,0.5579,0.6609,0.2297,0.1094
I1,2021,2020-09-30,Lazio,Atalanta,,,True,1,4,1.80375,1.89667,1.80375,1.89667,1.89667,1.80375,8.068965517241379,16.91304347826087,9,6,1.3105999999999998,1.4407999999999999,0.354,0.2486,0.3974
I1,2021,2020-10-02,Fiorentina,Sampdoria,,,True,1,2,2.02799,2.18148,2.02799,1.42022,1.42022,2.02799,8.210526315789474,12.478260869565217,5,6,1.2767,1.4843000000000002,0.3459,0.239,0.4151
I1,2021,2020-10-03,Sassuolo,Crotone,,,True,4,1,1.85563,1.5945,1.09433,0.833203,0.833203,1.09433,8.346153846153847,9.741935483870968,4,13,1.5957,1.1088,0.4334,0.2955,0.2711
I1,2021,2020-10-03,Udinese,Roma,,,True,0,1,1.66689,0.762958,1.66689,0.762958,0.762958,1.66689,16.11111111111111,8.096774193548388,2,4,2.1145,0.6487,0.6259,0.2368,0.1373
I1,2021,2020-10-04,Atalanta,Cagliari,,,True,5,2,3.60777,0.655559,3.60777,0.655559,0.655559,3.60777,10.454545454545455,15.318181818181818,15,6,2.884,0.07419999999999999,0.9474,0.0418,0.0108
I1,2021,2020-10-04,Benevento,Bologna,,,True,1,0,0.8907,1.82239,0.8907,1.82239,1.82239,0.8907,8.96,6.083333333333333,6,5,0.6577,2.1037,0.1397,0.2386,0.6217
I1,2021,2020-10-04,Lazio,Inter,,,True,1,1,1.20722,0.719092,1.20722,0.719092,0.719092,1.20722,11.923076923076923,9.423076923076923,1,8,1.7719,0.9265,0.4901,0.3016,0.2083
I1,2021,2020-10-04,Parma Calcio 1913,Verona,,,True,1,0,1.23442,0.633776,1.23442,0.633776,0.633776,1.23442,24.333333333333332,6.818181818181818,3,10,1.9122,0.7806,0.535,0.3072,0.1578
I1,2021,2020-10-04,AC Milan,Spezia,,,True,3,0,2.64977,0.152433,2.64977,0.152433,0.152433,2.64977,6.32258064516129,14.64,11,1,2.934,0.0363,0.9681,0.0297,0.0022
I1,2021,2020-10-17,Napoli,Atalanta,,,True,4,1,1.17201,0.640405,1.17201,0.640405,0.640405,1.17201,16.157894736842106,7.527777777777778,7,1,1.7872000000000001,0.9028,0.4924,0.31,0.1976
I1,2021,2020-10-17,Inter,AC Milan,,,True,1,2,2.54683,2.06232,2.54683,1.15648,1.15648,2.54683,6.821428571428571,8.785714285714286,14,4,1.7123,1.0469,0.4905,0.2408,0.2687
I1,2021,2020-10-17,Sampdoria,Lazio,,,True,3,0,1.83414,0.454609,1.83414,0.454609,0.454609,1.83414,14.4,12.652173913043478,8,8,2.4888999999999997,0.3394,0.7724,0.1717,0.0559
I1,2021,2020-10-17,Crotone,Juventus,,,True,1,1,1.39522,1.58494,0.633924,1.58494,1.58494,0.633924,12.035714285714286,11.181818181818182,7,5,1.1384,1.4984,0.2584,0.3632,0.3784
I1,2021,2020-10-18,Bologna,Sassuolo,,,True,3,4,1.45422,3.23668,1.45422,3.23668,3.23668,1.45422,6.290322580645161,7.6,6,10,0.44199999999999995,2.4268,0.1036,0.1312,0.7652
I1,2021,2020-10-18,Spezia,Fiorentina,,,True,2,2,0.925627,1.08362,0.925627,1.08362,1.08362,0.925627,7.8108108108108105,8.096774193548388,2,6,1.2132999999999998,1.4691999999999998,0.2986,0.3175,0.3839
I1,2021,2020-10-18,Torino,Cagliari,,,True,2,3,1.24172,1.79136,0.480418,1.79136,1.79136,0.480418,8.12,15.666666666666666,4,3,0.8055000000000001,1.8917999999999997,0.1676,0.3027,0.5297
I1,2021,2020-10-18,Udinese,Parma Calcio 1913,,,True,3,2,1.71631,0.96514,1.71631,0.96514,0.96514,1.71631,11.344827586206897,10.88888888888889,9,3,1.9542,0.7896000000000001,0.566,0.2562,0.1778
I1,2021,2020-10-18,Roma,Benevento,,,True,5,2,4.18819,1.55972,3.42693,0.650065,0.650065,3.42693,7.514285714285714,12.954545454545455,13,4,2.8047999999999997,0.1279,0.9125,0.0673,0.0202
I1,2021,2020-10-19,Verona,Genoa,,,True,0,0,0.88144,0.38231,0.88144,0.38231,0.38231,0.88144,6.9,12.863636363636363,9,1,1.7962,0.8248,0.4724,0.379,0.1486
I1,2021,2020-10-23,Sassuolo,Torino,,,True,3,3,1.69093,2.08517,1.69093,2.08517,2.08517,1.69093,5.0,20.523809523809526,13,7,1.0933,1.6681,0.2849,0.2386,0.4765
I1,2021,2020-10-24,Atalanta,Sampdoria,,,True,1,3,2.09742,2.49916,1.33612,1.7379,1.7379,1.33612,7.269230769230769,10.133333333333333,12,3,1.0537999999999998,1.7012,0.2696,0.245,0.4854
I1,2021,2020-10-24,Genoa,Inter,,,True,0,2,0.0128508,1.63844,0.0128508,1.63844,1.63844,0.0128508,16.636363636363637,6.761904761904762,0,8,0.1215,2.7624,0.0018,0.1161,0.8821
I1,2021,2020-10-24,Lazio,Bologna,,,True,2,1,1.42977,1.75593,1.42977,1.75593,1.75593,1.42977,9.206896551724139,8.96551724137931,3,9,1.1268,1.6086,0.2874,0.2646,0.448
I1,2021,2020-10-25,Cagliari,Crotone,,,True,4,2,2.08322,1.40714,2.08322,1.40714,1.40714,2.08322,13.814814814814815,13.0625,9,6,1.8814999999999997,0.8804000000000001,0.5478,0.2381,0.2141
I1,2021,2020-10-25,Benevento,Napoli,,,True,1,2,0.650046,2.26936,0.650046,2.26936,2.26936,0.650046,17.3,6.3076923076923075,4,11,0.3498,2.4903,0.0633,0.1599,0.7768
I1,2021,2020-10-25,Parma Calcio 1913,Spezia,,,True,2,2,3.67014,0.965076,2.90884,0.965076,0.965076,2.90884,12.909090909090908,8.84,6,6,2.7921,0.1464,0.9102,0.0615,0.0283
I1,2021,2020-10-25,Fiorentina,Udinese,,,True,3,2,1.20434,2.6861,1.20434,2.6861,2.6861,1.20434,12.4,6.4,5,8,0.3608,2.4718999999999998,0.0645,0.1673,0.7682
I1,2021,2020-10-25,Juventus,Verona,,,True,1,1,2.17723,0.599908,2.17723,0.599908,0.599908,2.17723,8.380952380952381,12.192307692307692,14,7,2.4664,0.3673,0.7667,0.1663,0.067
I1,2021,2020-10-26,AC Milan,Roma,,,True,3,3,2.81817,2.35903,2.05687,1.59777,1.59777,2.05687,13.421052631578947,17.0,11,7,1.6827999999999999,1.0807,0.4821,0.2365,0.2814
I1,2021,2020-10-31,Crotone,Atalanta,,,True,1,2,0.524608,3.49595,0.524608,3.49595,3.49595,0.524608,13.666666666666666,5.244897959183674,0,16,0.07189999999999999,2.8862,0.01,0.0419,0.9481
I1,2021,2020-10-31,Inter,Parma Calcio 1913,,,True,2,2,3.0518,0.760875,3.0518,0.760875,0.760875,3.0518,4.027777777777778,28.11111111111111,10,2,2.7226999999999997,0.185,0.8768,0.0923,0.0309
I1,2021,2020-10-31,Bologna,Cagliari,,,True,3,2,1.46614,1.26683,1.46614,1.26683,1.26683,1.46614,11.0,6.54054054054054,11,9,1.4954,1.2371,0.4093,0.2675,0.3232
I1,2021,2020-11-01,Udinese,AC Milan,,,True,1,2,0.956217,1.02378,0.194919,1.02378,1.02378,0.194919,14.208333333333334,8.434782608695652,4,9,1.2977,1.3316,0.309,0.3707,0.3203
I1,2021,2020-11-01,Spezia,Juventus,,,True,1,4,0.546346,2.88171,0.546346,2.12041,2.12041,0.546346,15.076923076923077,11.5,4,11,0.1237,2.812,0.0198,0.0643,0.9159
