ID,Player,Team,GW,Pos,DEFCON per90 (period),Opponent FDR,Home,Opponent,Minutes
4,Gabriel,ARS,3,DEF,7.0,4,True,CHE,90
7,Lewis-Skelly,ARS,3,MID,2.727,4,True,CHE,66
8,Calafiori,ARS,3,DEF,1.364,4,True,CHE,66
10,White,ARS,3,DEF,6.0,4,True,CHE,90
12,Saka,ARS,3,MID,4.045,4,True,CHE,89
13,Rice,ARS,3,MID,6.0,4,True,CHE,90
15,Ødegaard,ARS,3,MID,3.553,4,True,CHE,76
26,Havertz,ARS,3,FWD,1.169,4,True,CHE,77
31,Konsa,ARS,3,DEF,10.0,4,True,CHE,90
32,Cash,AVL,3,DEF,1.071,2,False,HUL,84
33,Mings,AVL,3,DEF,5.0,2,False,HUL,90
36,Maatsen,AVL,3,DEF,3.649,2,False,HUL,74
37,Lindelöf,AVL,3,DEF,4.0,2,False,HUL,90
40,Rogers,CHE,3,MID,5.233,5,False,ARS,86
41,Buendía,AVL,3,MID,2.432,2,False,HUL,74
43,Tielemans,MUN,3,MID,7.0,3,False,EVE,90
45,McGinn,AVL,3,MID,5.0,2,False,HUL,90
46,Barkley,AVL,3,MID,6.0,2,False,HUL,90
47,Kamara,AVL,3,MID,10.0,2,False,HUL,90
51,George Hemmings,AVL,3,MID,8.514,2,False,HUL,74
60,Hill,BOU,3,DEF,6.0,3,False,NEW,90
61,Truffert,BOU,3,DEF,6.0,3,False,NEW,90
64,Smith,BOU,3,DEF,4.0,3,False,NEW,90
67,Rayan,BOU,3,MID,2.045,3,False,NEW,88
68,Tavernier,BOU,3,MID,9.205,3,False,NEW,88
69,Scott,BOU,3,MID,11.0,3,False,NEW,90
70,Kluivert,BOU,3,MID,4.8,3,False,NEW,75
73,Adams,BOU,3,MID,14.4,3,False,NEW,75
79,Evanilson,BOU,3,FWD,7.0,3,False,NEW,90
86,Lewis-Potter,BRE,3,MID,6.0,2,True,SUN,90
87,Ajer,BRE,3,DEF,5.0,2,True,SUN,90
88,Kayode,BRE,3,DEF,10.0,2,True,SUN,45
90,Hickey,BRE,3,DEF,10.0,2,True,SUN,45
91,Pinnock,COV,3,DEF,13.0,5,False,MCI,90
93,Schuster,BRE,3,DEF,12.329,2,True,SUN,73
94,Schade,BRE,3,MID,5.0,2,True,SUN,90
95,O.Dango,BRE,3,MID,22.0,2,True,SUN,45
96,Damsgaard,BRE,3,MID,4.235,2,True,SUN,85
98,Janelt,BRE,3,MID,12.0,2,True,SUN,90
102,Yarmoliuk,BRE,3,MID,10.0,2,True,SUN,45
104,Onyeka,COV,3,MID,4.355,5,False,MCI,62
105,Anthony,BRE,3,MID,8.0,2,True,SUN,45
106,Thiago,BRE,3,FWD,6.0,2,True,SUN,90
112,Van Hecke,TOT,3,DEF,4.0,3,False,NFO,90
113,F.Kadıoğlu,BHA,3,DEF,5.844,2,True,LEE,77
114,Boscagli,BHA,3,DEF,4.0,2,True,LEE,90
115,De Cuyper,BHA,3,DEF,2.368,2,True,LEE,76
116,Dunk,BHA,3,DEF,12.0,2,True,LEE,90
124,Groß,BHA,3,MID,4.0,2,True,LEE,90
127,Gomez,BHA,3,MID,9.0,2,True,LEE,90
129,Ayari,BHA,3,MID,3.0,2,True,LEE,90
138,Kostoulas,BHA,3,FWD,8.0,2,True,LEE,90
142,James,CHE,3,DEF,3.0,5,False,ARS,90
144,Gusto,CHE,3,DEF,6.0,5,False,ARS,30
145,Fofana,CHE,3,DEF,17.0,5,False,ARS,90
148,Hato,CHE,3,DEF,9.153,5,False,ARS,59
151,Acheampong,CHE,3,DEF,1.0,5,False,ARS,90
