Snapshot,GW,Fixture ID,Commence time,Team,Opponent,Home,Expected goals for,Expected goals against,Clean sheet probability,Win probability,Draw probability,Loss probability,Fit residual
2026-08-23,3,21fd24ad6732df00774304a046d84fe9,2026-09-05T16:30:00Z,HUL,AVL,True,1.0272,1.8686,0.1543,0.1944,0.2457,0.5599,0.011883
2026-08-23,3,21fd24ad6732df00774304a046d84fe9,2026-09-05T16:30:00Z,AVL,HUL,False,1.8686,1.0272,0.358,0.5599,0.2457,0.1944,0.011883
2026-08-23,3,29f81160baf6a97d6391d7172fad2425,2026-09-05T14:00:00Z,BRE,SUN,True,1.9006,0.9486,0.3873,0.5862,0.2407,0.173,0.002749
2026-08-23,3,29f81160baf6a97d6391d7172fad2425,2026-09-05T14:00:00Z,SUN,BRE,False,0.9486,1.9006,0.1495,0.173,0.2407,0.5862,0.002749
2026-08-23,2,2c49e9d1ef855f62962b915e773f906d,2026-08-31T19:00:00Z,AVL,ARS,True,0.8474,1.998,0.1356,0.141,0.2265,0.6324,0.011884
2026-08-23,2,2c49e9d1ef855f62962b915e773f906d,2026-08-31T19:00:00Z,ARS,AVL,False,1.998,0.8474,0.4285,0.6324,0.2265,0.141,0.011884
2026-08-23,2,373cc6e2fb57f471cd2deab9a28a6edb,2026-08-28T19:00:00Z,CRY,MCI,True,1.0275,2.0158,0.1332,0.1766,0.2307,0.5926,0.008777
2026-08-23,2,373cc6e2fb57f471cd2deab9a28a6edb,2026-08-28T19:00:00Z,MCI,CRY,False,2.0158,1.0275,0.3579,0.5926,0.2307,0.1766,0.008777
2026-08-23,2,374dd92785cc06d6514d275515219c44,2026-08-29T14:00:00Z,COV,HUL,True,1.7062,1.1166,0.3274,0.5003,0.2621,0.2376,0.004853
2026-08-23,2,374dd92785cc06d6514d275515219c44,2026-08-29T14:00:00Z,HUL,COV,False,1.1166,1.7062,0.1816,0.2376,0.2621,0.5003,0.004853
2026-08-23,3,3b81531990da7ea3e461c43e8827672b,2026-09-05T14:00:00Z,BHA,LEE,True,1.8014,0.9849,0.3735,0.5545,0.2521,0.1933,0.00212
2026-08-23,3,3b81531990da7ea3e461c43e8827672b,2026-09-05T14:00:00Z,LEE,BHA,False,0.9849,1.8014,0.1651,0.1933,0.2521,0.5545,0.00212
2026-08-23,3,3db5f919507eb8ab0c8c72bddaca8f08,2026-09-05T14:00:00Z,MCI,COV,True,3.0632,0.8081,0.4457,0.8135,0.1249,0.0616,0.005969
2026-08-23,3,3db5f919507eb8ab0c8c72bddaca8f08,2026-09-05T14:00:00Z,COV,MCI,False,0.8081,3.0632,0.0467,0.0616,0.1249,0.8135,0.005969
2026-08-23,1,4e4a813bf4218cc527e6f8ef2351170d,2026-08-24T19:00:00Z,FUL,CHE,True,1.1722,1.8447,0.1581,0.2306,0.249,0.5205,0.004654
2026-08-23,1,4e4a813bf4218cc527e6f8ef2351170d,2026-08-24T19:00:00Z,CHE,FUL,False,1.8447,1.1722,0.3097,0.5205,0.249,0.2306,0.004654
2026-08-23,2,5759167055d94ba38e145ab92188abbf,2026-08-30T15:30:00Z,MUN,IPS,True,2.253,0.827,0.4374,0.688,0.1979,0.1141,0.009144
2026-08-23,2,5759167055d94ba38e145ab92188abbf,2026-08-30T15:30:00Z,IPS,MUN,False,0.827,2.253,0.1051,0.1141,0.1979,0.688,0.009144
