Snapshot,GW,ID,Player,Team,Pos,Price,Start probability,Appearance pts,Goals pts,Assists pts,Clean sheet pts,DEFCON pts,Bonus pts,Save pts,Expected points,Expected points low,Expected points high,Expected points per million,Confidence,Note
2026-09-25,1,28,Martinez,CHE,GKP,5.0,1.0,2.0,0.0,0.012,1.308,0.0,0.0,1.172,4.492,3.172,7.172,0.898,High,
2026-09-25,1,40,Rogers,CHE,MID,7.7,1.0,2.0,2.188,1.52,0.333,1.025,0.667,0.0,7.731,2.667,17.667,1.004,High,
2026-09-25,1,101,Henderson,CHE,MID,4.9,0.467,0.934,0.0,0.052,0.146,0.782,0.0,0.0,1.915,0.0,5.0,0.391,Low,only 90 trailing minutes
2026-09-25,1,136,Welbeck,CHE,FWD,5.9,0.467,0.995,0.0,0.083,0.0,0.186,0.0,0.0,1.263,0.0,4.0,0.214,Low,only 85 trailing minutes
2026-09-25,1,140,Sánchez,CHE,GKP,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,only 90 trailing minutes
2026-09-25,1,141,Jörgensen,CHE,GKP,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,only 0 trailing minutes
2026-09-25,1,142,James,CHE,DEF,5.4,0.683,1.343,0.33,0.227,0.792,0.564,0.0,0.0,3.256,0.0,11.0,0.603,High,
2026-09-25,1,143,Chalobah,CHE,DEF,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,only 0 trailing minutes
2026-09-25,1,144,Gusto,CHE,DEF,4.9,0.333,0.91,0.024,0.046,0.412,0.196,0.0,0.0,1.589,0.0,8.0,0.324,High,
2026-09-25,1,145,Fofana,CHE,DEF,5.0,1.0,2.0,0.0,0.098,1.298,2.0,0.0,0.0,5.396,4.0,8.0,1.079,High,
2026-09-25,1,146,B.Badiashile,CHE,DEF,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,only 0 trailing minutes
2026-09-25,1,148,Hato,CHE,DEF,4.5,0.667,1.153,0.009,0.165,0.878,0.514,0.0,0.0,2.719,0.0,8.0,0.604,High,
2026-09-25,1,149,Colwill,CHE,DEF,4.8,0.667,1.349,0.006,0.042,0.822,0.943,0.0,0.0,3.162,0.0,8.0,0.659,High,
2026-09-25,1,150,M.Sarr,CHE,DEF,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,only 0 trailing minutes
2026-09-25,1,151,Acheampong,CHE,DEF,4.5,0.333,0.93,0.0,0.012,0.412,0.344,0.0,0.0,1.698,0.0,8.0,0.377,High,
2026-09-25,1,152,Palestra,CHE,DEF,5.3,0.1,0.175,0.0,0.0,0.142,0.0,0.0,0.0,0.317,0.0,6.0,0.06,Low,only 0 trailing minutes
2026-09-25,1,154,Palmer,CHE,MID,9.7,0.95,1.913,1.597,1.012,0.285,0.953,0.957,0.0,6.718,0.0,16.0,0.693,High,
2026-09-25,1,156,Neto,CHE,MID,6.5,1.0,2.0,0.795,0.744,0.301,1.151,0.0,0.0,4.992,2.0,12.0,0.768,High,
2026-09-25,1,157,Estêvão,CHE,MID,6.3,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.655,0.0,1.0,0.104,Low,only 23 trailing minutes
2026-09-25,1,158,Gittens,CHE,MID,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,only 0 trailing minutes
2026-09-25,1,159,Caicedo,CHE,MID,5.3,0.1,0.187,0.0,0.0,0.034,0.0,0.0,0.0,0.221,0.0,3.0,0.042,Low,only 13 trailing minutes
2026-09-25,1,161,Lavia,CHE,MID,5.0,0.667,1.222,0.605,0.118,0.208,0.858,0.0,0.0,3.012,0.0,10.0,0.602,High,
2026-09-25,1,163,D.Essugo,CHE,MID,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,only 0 trailing minutes
2026-09-25,1,164,Quenda,CHE,MID,5.3,0.2,0.509,0.013,0.002,0.061,0.022,0.0,0.0,0.606,0.0,3.0,0.114,Low,only 27 trailing minutes
2026-09-25,1,165,João Pedro,CHE,FWD,7.7,0.683,1.353,1.462,0.153,0.0,0.251,2.368,0.0,5.587,0.0,15.5,0.726,High,
